seed,backend,dataset,height,pbc_width,sparse_width,width_reduction,pbc_max_bucket,sparse_max_bucket,max_bucket_reduction,pbc_online_kb,sparse_online_kb,online_reduction,pbc_query_ms,sparse_query_ms,query_reduction,pbc_setup_ms,sparse_setup_ms,setup_reduction,pbc_server_parallel_ms,sparse_server_parallel_ms,server_parallel_reduction
73000,PIANO-local-runner,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,43,23,0.4651162790697675,22.125,6.890625,0.6885593220338984,0.563,0.129,0.7708703374777974,3.924,0.987,0.7484709480122325,0.0,0.0,
73000,PIANO-local-runner,Polygon zkEVM broad,128,26,17,0.34615384615384615,1625,829,0.4898461538461538,426.5625,205.859375,0.5173992673992673,20.701,6.255,0.6978406840249263,508.152,108.821,0.7858495095955541,0.0,0.005,
73000,PIANO-local-runner,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,385,193,0.49870129870129876,180.46875,87.5,0.5151515151515151,10.727,2.619,0.7558497249930083,98.655,18.64,0.8110587400537226,0.0,0.0,
73000,PIANO-local-runner,Polygon zkEVM recent,128,17,11,0.3529411764705882,136,70,0.4852941176470589,92.96875,30.078125,0.6764705882352942,2.533,0.863,0.6592972759573628,13.152,5.14,0.6091849148418491,0.0,0.0,
73000,PIANO-local-runner,ZKsync Era broad,128,26,17,0.34615384615384615,1786,911,0.4899216125419933,446.875,212.5,0.5244755244755245,21.046,10.528,0.49976242516392655,510.066,171.095,0.6645630173350116,0.009,0.003,
73000,PIANO-local-runner,ZKsync Era sample,128,20,13,0.35,287,147,0.4878048780487805,148.4375,71.09375,0.5210526315789474,6.651,3.846,0.42174109156517814,53.842,19.773,0.6327588128227035,0.0,0.0,
73000,SimplePIR-full-api,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,,,,12,5.90625,0.5078125,8.984663619999994,5.82662702000001,0.35149191261542034,2.7685290000000005,1.6360379999999999,0.40905874563712363,0.004357839999999999,0.0036482000000000003,
73000,SimplePIR-full-api,Polygon zkEVM broad,128,26,17,0.34615384615384615,,,,133.25,62.15625,0.5335365853658536,31.315711059999852,17.32604718000005,0.4467298811512239,106.02823800000004,42.926848,0.5951375896673867,0.017095520000000003,0.011589480000000003,0.3220750231639634
73000,SimplePIR-full-api,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,,,,51.84375,25.375,0.510548523206751,17.73151104000003,10.697123679999983,0.3967167459181209,26.47085399999999,11.502207,0.565476542615512,0.00584322,0.0052388600000000006,
73000,SimplePIR-full-api,Polygon zkEVM recent,128,17,11,0.3529411764705882,,,,25.5,11.6875,0.5416666666666667,12.202871479999999,7.776336400000004,0.36274536589645334,8.681136000000004,3.1231120000000008,0.6402415536399846,0.004070799999999999,0.0044648,
