node_index,depth,left_rank,right_rank,weight,color
256,8,1,3,3,4
128,7,4,11,8,8
64,6,12,23,12,11
32,5,24,52,29,2
16,4,53,105,53,9
8,3,106,211,106,12
4,2,212,453,242,12
2,1,454,955,502,1
2058,11,2,2,1,8
514,9,3,3,1,3
257,8,0,0,1,4
2059,11,1,1,1,8
515,9,1,2,2,3
4130,12,5,6,2,5
1032,10,7,8,2,13
516,9,9,9,1,3
258,8,10,11,2,4
129,7,0,3,4,6
16526,14,6,6,1,6
4131,12,4,4,1,5
16527,14,5,5,1,6
8270,13,8,8,1,5
1033,10,4,6,3,13
8271,13,7,7,1,5
517,9,4,8,5,3
4150,12,11,11,1,3
259,8,4,9,6,4
4151,12,10,10,1,3
4160,12,13,13,1,5
2080,11,14,14,1,13
520,9,15,16,2,3
260,8,17,18,2,4
130,7,19,23,5,8
65,6,0,11,12,11
4161,12,12,12,1,5
2081,11,12,13,2,13
1042,10,16,16,1,13
521,9,12,14,3,3
1043,10,15,15,1,13
522,9,18,18,1,3
261,8,12,16,5,4
523,9,17,17,1,3
524,9,20,21,2,3
262,8,22,23,2,4
131,7,12,18,7,8
1050,10,21,21,1,13
525,9,19,19,1,3
1051,10,20,20,1,13
526,9,23,23,1,3
263,8,19,21,3,4
527,9,22,22,1,3
33848,15,25,25,1,4
528,9,26,29,4,3
264,8,30,31,2,13
132,7,32,43,12,5
66,6,44,52,9,11
33,5,0,23,24,2
33849,15,24,24,1,4
1058,10,27,29,3,4
529,9,24,25,2,3
2118,11,28,29,2,8
1059,10,26,26,1,4
16952,14,29,29,1,6
2119,11,27,27,1,8
16953,14,28,28,1,6
16974,14,31,31,1,3
265,8,24,29,6,13
16975,14,30,30,1,3
2128,11,33,36,4,4
1064,10,37,37,1,3
266,8,38,43,6,13
133,7,24,31,8,5
8516,13,34,34,1,6
4258,12,35,36,2,8
2129,11,32,32,1,4
8517,13,33,33,1,6
8518,13,36,36,1,6
4259,12,33,34,2,8
8519,13,35,35,1,6
1065,10,32,36,5,3
1068,10,39,40,2,4
534,9,41,43,3,3
267,8,32,37,6,13
4278,12,40,40,1,8
1069,10,38,38,1,4
4279,12,39,39,1,8
1070,10,42,43,2,4
535,9,38,40,3,3
2142,11,43,43,1,8
1071,10,41,41,1,4
2143,11,42,42,1,8
268,8,45,48,4,13
134,7,49,52,4,5
67,6,24,43,20,11
2152,11,46,46,1,4
538,9,47,48,2,3
269,8,44,44,1,13
2153,11,45,45,1,4
4316,12,48,48,1,4
539,9,45,46,2,3
4317,12,47,47,1,4
270,8,50,52,3,13
135,7,44,48,5,5
4344,12,51,51,1,4
1086,10,52,52,1,3
271,8,49,49,1,13
4345,12,50,50,1,4
1087,10,50,51,2,3
544,9,54,56,3,3
272,8,57,63,7,13
136,7,64,70,7,5
68,6,71,80,10,11
34,5,81,105,25,2
17,4,0,52,53,9
69766,16,55,55,1,8
1090,10,56,56,1,4
545,9,53,53,1,3
69767,16,54,54,1,8
1091,10,54,55,2,4
8744,13,58,58,1,4
546,9,59,63,5,3
273,8,53,56,4,13
8745,13,57,57,1,4
17514,14,60,60,1,8
1094,10,61,63,3,4
547,9,57,58,2,3
17515,14,59,59,1,8
2190,11,62,63,2,8
1095,10,59,60,2,4
17528,14,63,63,1,6
2191,11,61,61,1,8
17529,14,62,62,1,6
548,9,65,65,1,3
274,8,66,70,5,13
137,7,53,63,11,5
549,9,64,64,1,3
1100,10,67,67,1,4
550,9,68,70,3,3
275,8,64,65,2,13
1101,10,66,66,1,4
2204,11,69,69,1,8
1102,10,70,70,1,4
551,9,66,67,2,3
2205,11,68,68,1,8
1103,10,68,69,2,4
35398,15,72,72,1,8
4424,12,73,73,1,4
1106,10,74,74,1,3
276,8,75,76,2,13
138,7,77,80,4,5
69,6,53,70,18,11
35399,15,71,71,1,8
4425,12,71,72,2,4
1107,10,71,73,3,3
554,9,76,76,1,3
277,8,71,74,4,13
555,9,75,75,1,3
2230,11,78,78,1,3
278,8,79,80,2,13
139,7,71,76,6,5
2231,11,77,77,1,3
558,9,80,80,1,3
279,8,77,78,2,13
559,9,79,79,1,3
560,9,82,82,1,3
280,8,83,85,3,13
140,7,86,92,7,5
70,6,93,105,13,11
35,5,53,80,28,2
561,9,81,81,1,3
562,9,84,85,2,3
281,8,81,82,2,13
2252,11,85,85,1,4
563,9,83,83,1,3
2253,11,84,84,1,4
1128,10,87,87,1,4
564,9,88,88,1,3
282,8,89,92,4,13
141,7,81,85,5,5
1129,10,86,86,1,4
565,9,86,87,2,3
566,9,90,92,3,3
283,8,86,88,3,13
2268,11,91,91,1,8
1134,10,92,92,1,4
567,9,89,89,1,3
2269,11,90,90,1,8
1135,10,90,91,2,4
284,8,94,98,5,13
142,7,99,105,7,5
71,6,81,92,12,11
36514,15,95,95,1,4
570,9,96,98,3,3
285,8,93,93,1,13
36515,15,94,94,1,4
36552,15,97,97,1,8
1142,10,98,98,1,4
571,9,94,95,2,3
36553,15,96,96,1,8
1143,10,96,97,2,4
18320,14,100,100,1,3
286,8,101,105,5,13
143,7,93,98,6,5
18321,14,99,99,1,3
574,9,102,105,4,3
287,8,99,100,2,13
1150,10,103,105,3,4
575,9,101,101,1,3
2302,11,104,105,2,8
1151,10,102,102,1,4
73700,16,105,105,1,6
2303,11,103,103,1,8
73701,16,104,104,1,6
2306,11,107,107,1,4
576,9,108,108,1,3
288,8,109,109,1,13
144,7,110,115,6,5
72,6,116,130,15,6
36,5,131,158,28,2
18,4,159,211,53,1
9,3,0,105,106,1
2307,11,106,106,1,4
577,9,106,107,2,3
289,8,106,108,3,13
2320,11,111,111,1,8
1160,10,112,112,1,4
580,9,113,114,2,3
290,8,115,115,1,13
145,7,106,109,4,5
2321,11,110,110,1,8
1161,10,110,111,2,4
1162,10,114,114,1,4
581,9,110,112,3,3
1163,10,113,113,1,4
291,8,110,114,5,13
292,8,117,122,6,13
146,7,123,130,8,5
73,6,106,115,10,6
1172,10,118,118,1,4
586,9,119,122,4,3
293,8,116,116,1,13
1173,10,117,117,1,4
4698,12,120,120,1,8
1174,10,121,122,2,4
587,9,117,118,2,3
4699,12,119,119,1,8
2350,11,122,122,1,8
1175,10,119,120,2,4
2351,11,121,121,1,8
4706,12,124,124,1,4
1176,10,125,125,1,3
294,8,126,130,5,13
147,7,116,122,7,5
4707,12,123,123,1,4
1177,10,123,124,2,3
590,9,127,130,4,3
295,8,123,125,3,13
75654,16,128,128,1,11
9456,13,129,129,1,8
2364,11,130,130,1,4
591,9,126,126,1,3
75655,16,127,127,1,11
9457,13,127,128,2,8
2365,11,127,129,3,4
2368,11,132,132,1,4
592,9,133,135,3,3
296,8,136,139,4,13
148,7,140,141,2,5
74,6,142,158,17,6
37,5,106,130,25,2
2369,11,131,131,1,4
1186,10,134,135,2,4
593,9,131,132,2,3
4750,12,135,135,1,8
1187,10,133,133,1,4
4751,12,134,134,1,8
2376,11,137,139,3,3
297,8,131,135,5,13
19016,14,138,138,1,8
4754,12,139,139,1,4
2377,11,136,136,1,3
19017,14,137,137,1,8
4755,12,137,138,2,4
2392,11,141,141,1,13
149,7,131,139,9,5
2393,11,140,140,1,13
1200,10,143,143,1,4
600,9,144,145,2,3
300,8,146,149,4,13
150,7,150,158,9,5
75,6,131,141,11,6
1201,10,142,142,1,4
1202,10,145,145,1,4
601,9,142,143,2,3
1203,10,144,144,1,4
1204,10,147,147,1,4
602,9,148,149,2,3
301,8,142,145,4,13
1205,10,146,146,1,4
2412,11,149,149,1,4
603,9,146,147,2,3
2413,11,148,148,1,4
604,9,151,151,1,3
302,8,152,158,7,13
151,7,142,149,8,5
605,9,150,150,1,3
4848,12,153,153,1,4
606,9,154,158,5,3
303,8,150,151,2,13
4849,12,152,152,1,4
9712,13,155,155,1,9
4856,12,156,156,1,11
2428,11,157,157,1,8
1214,10,158,158,1,4
607,9,152,153,2,3
9713,13,154,154,1,9
4857,12,154,155,2,11
2429,11,154,156,3,8
1215,10,154,157,4,4
608,9,160,163,4,3
304,8,164,168,5,13
152,7,169,173,5,5
76,6,174,184,11,6
38,5,185,211,27,2
19,4,106,158,53,1
1218,10,161,163,3,4
609,9,159,159,1,3
9754,13,162,162,1,11
2438,11,163,163,1,8
1219,10,160,160,1,4
9755,13,161,161,1,11
2439,11,161,162,2,8
610,9,165,168,4,3
305,8,159,163,5,13
4888,12,166,166,1,8
1222,10,167,168,2,4
611,9,164,164,1,3
4889,12,165,165,1,8
2446,11,168,168,1,8
1223,10,165,166,2,4
2447,11,167,167,1,8
2450,11,170,170,1,3
306,8,171,173,3,13
153,7,159,168,10,5
2451,11,169,169,1,3
1228,10,172,173,2,3
307,8,169,170,2,13
2458,11,173,173,1,4
1229,10,171,171,1,3
2459,11,172,172,1,4
1232,10,175,175,1,4
616,9,176,176,1,3
308,8,177,177,1,13
154,7,178,184,7,5
77,6,159,173,15,6
1233,10,174,174,1,4
617,9,174,175,2,3
309,8,174,176,3,13
620,9,179,180,2,3
310,8,181,184,4,13
155,7,174,177,4,5
2486,11,180,180,1,4
621,9,178,178,1,3
2487,11,179,179,1,4
9958,13,182,182,1,8
1244,10,183,183,1,4
622,9,184,184,1,3
311,8,178,180,3,13
9959,13,181,181,1,8
1245,10,181,182,2,4
623,9,181,183,3,3
624,9,186,188,3,3
312,8,189,191,3,13
156,7,192,196,5,5
78,6,197,211,15,6
39,5,159,184,26,2
1250,10,187,188,2,4
625,9,185,185,1,3
2502,11,188,188,1,8
1251,10,186,186,1,4
2503,11,187,187,1,8
626,9,190,191,2,3
313,8,185,188,4,13
1254,10,191,191,1,4
627,9,189,189,1,3
1255,10,190,190,1,4
5036,12,193,193,1,3
314,8,194,196,3,13
157,7,185,191,7,5
5037,12,192,192,1,3
5050,12,195,195,1,4
1262,10,196,196,1,3
315,8,192,193,2,13
5051,12,194,194,1,4
1263,10,194,195,2,3
161808,17,198,198,1,11
5056,12,199,199,1,8
2528,11,200,200,1,4
632,9,201,201,1,3
316,8,202,205,4,13
158,7,206,211,6,5
79,6,185,196,12,6
161809,17,197,197,1,11
5057,12,197,198,2,8
2529,11,197,199,3,4
633,9,197,200,4,3
5078,12,203,203,1,4
634,9,204,205,2,3
317,8,197,201,5,13
5079,12,202,202,1,4
2542,11,205,205,1,4
635,9,202,203,2,3
2543,11,204,204,1,4
1272,10,207,207,1,4
636,9,208,210,3,3
318,8,211,211,1,13
159,7,197,205,9,5
1273,10,206,206,1,4
2548,11,209,209,1,8
1274,10,210,210,1,4
637,9,206,207,2,3
2549,11,208,208,1,8
1275,10,208,209,2,4
319,8,206,210,5,13
1282,10,213,213,1,2
320,8,214,216,3,6
160,7,217,222,6,5
80,6,223,231,9,11
40,5,232,262,31,9
20,4,263,327,65,8
10,3,328,453,126,4
5,2,0,211,212,7
1283,10,212,212,1,2
1284,10,215,216,2,2
321,8,212,213,2,6
5140,12,216,216,1,1
1285,10,214,214,1,2
5141,12,215,215,1,1
1288,10,218,218,1,1
644,9,219,219,1,2
322,8,220,222,3,6
161,7,212,216,5,5
1289,10,217,217,1,1
645,9,217,218,2,2
1292,10,221,222,2,2
323,8,217,219,3,6
2586,11,222,222,1,1
1293,10,220,220,1,2
2587,11,221,221,1,1
2592,11,224,224,1,1
1296,10,225,226,2,2
324,8,227,229,3,6
162,7,230,231,2,5
81,6,212,222,11,11
2593,11,223,223,1,1
2594,11,226,226,1,1
1297,10,223,224,2,2
2595,11,225,225,1,1
1300,10,228,228,1,1
650,9,229,229,1,2
325,8,223,226,4,6
1301,10,227,227,1,1
651,9,227,228,2,2
326,8,231,231,1,6
163,7,223,229,7,5
327,8,230,230,1,6
20996,14,233,233,1,1
656,9,234,234,1,2
328,8,235,237,3,6
164,7,238,248,11,1
82,6,249,262,14,11
41,5,212,231,20,9
20997,14,232,232,1,1
657,9,232,233,2,2
1316,10,236,236,1,1
658,9,237,237,1,2
329,8,232,234,3,6
1317,10,235,235,1,1
659,9,235,236,2,2
5282,12,239,239,1,13
660,9,240,244,5,2
330,8,245,248,4,6
165,7,232,237,6,5
5283,12,238,238,1,13
2644,11,241,242,2,3
1322,10,243,244,2,13
661,9,238,239,2,2
10580,13,242,242,1,5
2645,11,240,240,1,3
10581,13,241,241,1,5
10584,13,244,244,1,3
1323,10,240,242,3,13
10585,13,243,243,1,3
662,9,246,248,3,2
331,8,238,244,7,6
5306,12,247,248,2,13
663,9,245,245,1,2
84916,16,248,248,1,3
5307,12,246,246,1,13
84917,16,247,247,1,3
1328,10,250,250,1,1
664,9,251,252,2,2
332,8,253,255,3,6
166,7,256,262,7,5
83,6,232,248,17,11
1329,10,249,249,1,1
1330,10,252,252,1,1
665,9,249,250,2,2
1331,10,251,251,1,1
2666,11,254,255,2,2
333,8,249,252,4,6
42680,15,255,255,1,1
2667,11,253,253,1,2
42681,15,254,254,1,1
668,9,257,259,3,2
334,8,260,262,3,6
167,7,249,255,7,5
21434,14,258,258,1,13
5358,12,259,259,1,1
669,9,256,256,1,2
21435,14,257,257,1,13
5359,12,257,258,2,1
1340,10,261,262,2,2
335,8,256,259,4,6
42912,15,262,262,1,1
1341,10,260,260,1,2
42913,15,261,261,1,1
5376,12,264,264,1,1
672,9,265,266,2,2
336,8,267,269,3,6
168,7,270,278,9,5
84,6,279,297,19,11
42,5,298,327,30,9
21,4,212,262,51,8
5377,12,263,263,1,1
2692,11,266,266,1,1
673,9,263,264,2,2
2693,11,265,265,1,1
5392,12,268,268,1,1
674,9,269,269,1,2
337,8,263,266,4,6
5393,12,267,267,1,1
675,9,267,268,2,2
1352,10,271,271,1,1
676,9,272,275,4,2
338,8,276,278,3,6
169,7,263,269,7,5
1353,10,270,270,1,1
5416,12,273,273,1,3
2708,11,274,274,1,13
1354,10,275,275,1,1
677,9,270,271,2,2
5417,12,272,272,1,3
2709,11,272,273,2,13
1355,10,272,274,3,1
678,9,277,278,2,2
339,8,270,275,6,6
2716,11,278,278,1,1
679,9,276,276,1,2
2717,11,277,277,1,1
5444,12,280,280,1,1
680,9,281,285,5,2
340,8,286,292,7,6
170,7,293,297,5,5
85,6,263,278,16,11
5445,12,279,279,1,1
2724,11,282,283,2,13
1362,10,284,285,2,1
681,9,279,280,2,2
43600,15,283,283,1,3
2725,11,281,281,1,13
43601,15,282,282,1,3
2726,11,285,285,1,13
1363,10,281,283,3,1
2727,11,284,284,1,13
21852,14,287,288,2,1
682,9,289,292,4,2
341,8,279,285,7,6
43706,15,288,288,1,13
21853,14,286,286,1,1
43707,15,287,287,1,13
5466,12,290,290,1,13
1366,10,291,292,2,1
683,9,286,288,3,2
5467,12,289,289,1,13
5470,12,292,292,1,13
1367,10,289,290,2,1
5471,12,291,291,1,13
684,9,294,294,1,2
342,8,295,297,3,6
171,7,279,292,14,5
685,9,293,293,1,2
2744,11,296,296,1,1
686,9,297,297,1,2
343,8,293,294,2,6
2745,11,295,295,1,1
687,9,295,296,2,2
88264,16,299,299,1,1
5516,12,300,301,2,2
344,8,302,305,4,6
172,7,306,310,5,5
86,6,311,327,17,11
43,5,263,297,35,9
88265,16,298,298,1,1
11034,13,301,301,1,1
5517,12,298,299,2,2
11035,13,300,300,1,1
1380,10,303,303,1,1
690,9,304,305,2,2
345,8,298,301,4,6
1381,10,302,302,1,1
1382,10,305,305,1,1
691,9,302,303,2,2
1383,10,304,304,1,1
346,8,307,310,4,6
173,7,298,305,8,5
694,9,308,310,3,2
347,8,306,306,1,6
2780,11,309,309,1,13
1390,10,310,310,1,1
695,9,307,307,1,2
2781,11,308,308,1,13
1391,10,308,309,2,1
696,9,312,313,2,2
348,8,314,318,5,6
174,7,319,327,9,5
87,6,298,310,13,11
2788,11,313,313,1,1
697,9,311,311,1,2
2789,11,312,312,1,1
698,9,315,318,4,2
349,8,311,313,3,6
1398,10,316,318,3,1
699,9,314,314,1,2
2798,11,317,318,2,13
1399,10,315,315,1,1
11198,13,318,318,1,3
2799,11,316,316,1,13
11199,13,317,317,1,3
700,9,320,320,1,2
350,8,321,327,7,6
175,7,311,318,8,5
701,9,319,319,1,2
1404,10,322,323,2,1
702,9,324,327,4,2
351,8,319,320,2,6
179842,17,323,323,1,13
1405,10,321,321,1,1
179843,17,322,322,1,13
11250,13,325,325,1,3
2812,11,326,326,1,13
1406,10,327,327,1,1
703,9,321,323,3,2
11251,13,324,324,1,3
2813,11,324,325,2,13
1407,10,324,326,3,1
2822,11,329,329,1,2
352,8,330,336,7,6
176,7,337,344,8,5
88,6,345,360,16,11
44,5,361,400,40,9
22,4,401,453,53,8
11,3,212,327,116,4
2823,11,328,328,1,2
11306,13,331,331,1,1
706,9,332,336,5,2
353,8,328,329,2,6
11307,13,330,330,1,1
22626,14,333,333,1,3
5656,12,334,334,1,13
1414,10,335,336,2,1
707,9,330,331,2,2
22627,14,332,332,1,3
5657,12,332,333,2,13
5662,12,336,336,1,13
1415,10,332,334,3,1
5663,12,335,335,1,13
1416,10,338,338,1,1
708,9,339,339,1,2
354,8,340,344,5,6
177,7,328,336,9,5
1417,10,337,337,1,1
709,9,337,338,2,2
1420,10,341,341,1,1
710,9,342,344,3,2
355,8,337,339,3,6
1421,10,340,340,1,1
5690,12,343,343,1,13
1422,10,344,344,1,1
711,9,340,341,2,2
5691,12,342,342,1,13
1423,10,342,343,2,1
11396,13,346,346,1,13
1424,10,347,348,2,1
712,9,349,350,2,2
356,8,351,354,4,6
178,7,355,360,6,5
89,6,328,344,17,11
11397,13,345,345,1,13
11406,13,348,348,1,13
1425,10,345,346,2,1
11407,13,347,347,1,13
2854,11,350,350,1,1
713,9,345,348,4,2
2855,11,349,349,1,1
714,9,352,354,3,2
