backend,dataset,height,pbc_width,sparse_width,width_reduction,pbc_max_bucket,sparse_max_bucket,max_bucket_reduction,pbc_online_kb,sparse_online_kb,online_reduction,pbc_query_ms,sparse_query_ms,query_reduction,pbc_setup_ms,sparse_setup_ms,setup_reduction,pbc_server_total_ms,sparse_server_total_ms,server_total_reduction,pbc_server_parallel_ms,sparse_server_parallel_ms,server_parallel_reduction
PIANO-local-runner,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,43,23,0.4651162790697675,22.125,6.890625,0.6885593220338984,0.568,0.153,0.7306338028169014,3.426,1.043,0.695563339171045,0.0,0.0,,0.0,0.0,
PIANO-local-runner,Polygon zkEVM broad,128,26,17,0.34615384615384615,1625,829,0.4898461538461538,426.5625,205.859375,0.5173992673992673,19.584,9.781,0.5005616830065359,475.254,151.085,0.6820963106044347,0.0,0.0,,0.0,0.0,
PIANO-local-runner,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,385,193,0.49870129870129876,180.46875,87.5,0.5151515151515151,8.673,3.983,0.5407586763518967,84.071,27.265,0.6756907851696781,0.0,0.0,,0.0,0.0,
PIANO-local-runner,Polygon zkEVM recent,128,17,11,0.3529411764705882,136,70,0.4852941176470589,92.96875,30.078125,0.6764705882352942,2.285,1.009,0.5584245076586434,12.55,5.706,0.5453386454183267,0.0,0.0,,0.0,0.0,
PIANO-local-runner,ZKsync Era broad,128,26,17,0.34615384615384615,1786,911,0.4899216125419933,446.875,212.5,0.5244755244755245,22.015,10.435,0.5260049965932319,576.237,173.091,0.6996183861848511,0.0,0.0,,0.0,0.0,
PIANO-local-runner,ZKsync Era sample,128,20,13,0.35,287,147,0.4878048780487805,148.4375,71.09375,0.5210526315789474,6.641,3.41,0.48652311398885706,54.138,18.79,0.6529240090140013,0.0,0.0,,0.0,0.0,
SimplePIR-full-api,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,,,,12,5.90625,0.5078125,8.943713619999997,5.975503779999989,0.33187666400257676,3.808432999999999,1.697862,0.5541835710382721,0.032499860000000005,0.02208196,0.3205521500708004,0.004337619999999999,0.0035803800000000006,
SimplePIR-full-api,Polygon zkEVM broad,128,26,17,0.34615384615384615,,,,133.25,62.15625,0.5335365853658536,30.685195540000077,16.828963000000073,0.4515608356458911,108.29151800000001,40.178197000000026,0.6289811266658943,0.21478066,0.10540523999999998,0.5092424057175353,0.01103586,0.00913694,0.17206814874418486
SimplePIR-full-api,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,,,,51.84375,25.375,0.510548523206751,17.57252927999998,10.513527900000021,0.40170662216702635,23.85085400000002,10.227414,0.5711929644112537,0.08120005999999998,0.04410832,0.4567944900533323,0.006467499999999999,0.004757279999999999,
SimplePIR-full-api,Polygon zkEVM recent,128,17,11,0.3529411764705882,,,,25.5,11.6875,0.5416666666666667,11.965654039999997,7.416268460000011,0.38020367000348165,8.205110999999999,4.329544000000001,0.4723357185539596,0.04143946000000001,0.02831732,0.3166580838649926,0.00437792,0.00510374,
SimplePIR-full-api,ZKsync Era broad,128,26,17,0.34615384615384615,,,,138.9375,65.34375,0.5296896086369771,31.570708860000078,17.26608826000003,0.4530978592667563,114.47164399999998,42.49312900000001,0.6287890387946204,0.25396768000000003,0.10817428,0.5740628098819505,0.013379779999999999,0.008176820000000001,0.3888673804800974
SimplePIR-full-api,ZKsync Era sample,128,20,13,0.35,,,,43.125,20.71875,0.5195652173913043,15.624909059999947,9.446088579999993,0.39544681228371736,17.290585999999998,9.121172000000003,0.4724775666943848,0.07442475999999999,0.035087600000000004,0.5285493698602454,0.00587884,0.00419892,
