backend,dataset,height,pbc_width,sparse_width,width_reduction,pbc_max_bucket,sparse_max_bucket,max_bucket_reduction,pbc_online_kb,sparse_online_kb,online_reduction,pbc_query_ms,sparse_query_ms,query_reduction,pbc_setup_ms,sparse_setup_ms,setup_reduction,pbc_server_total_ms,sparse_server_total_ms,server_total_reduction,pbc_server_parallel_ms,sparse_server_parallel_ms,server_parallel_reduction
PIANO-local-runner,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,43,23,0.4651162790697675,22.125,6.890625,0.6885593220338984,0.581,0.134,0.7693631669535284,3.349,0.972,0.709764108689161,0.0,0.0,,0.0,0.0,
PIANO-local-runner,Polygon zkEVM broad,128,26,17,0.34615384615384615,1625,829,0.4898461538461538,426.5625,205.859375,0.5173992673992673,18.675,8.666,0.5359571619812584,448.617,145.886,0.6748094699933351,0.001,0.0,,0.001,0.0,
PIANO-local-runner,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,385,193,0.49870129870129876,180.46875,87.5,0.5151515151515151,8.823,3.985,0.5483395670406892,80.097,27.698,0.6541942894240733,0.005,0.0,,0.005,0.0,
PIANO-local-runner,Polygon zkEVM recent,128,17,11,0.3529411764705882,136,70,0.4852941176470589,92.96875,30.078125,0.6764705882352942,4.909,0.715,0.8543491546139743,25.448,3.741,0.8529943414020749,0.0,0.004,,0.0,0.004,
PIANO-local-runner,ZKsync Era broad,128,26,17,0.34615384615384615,1786,911,0.4899216125419933,446.875,212.5,0.5244755244755245,22.673,11.154,0.5080492215410399,550.482,173.629,0.6845873252894736,0.012,0.0,1.0,0.01,0.0,1.0
PIANO-local-runner,ZKsync Era sample,128,20,13,0.35,287,147,0.4878048780487805,148.4375,71.09375,0.5210526315789474,5.669,2.754,0.5142000352795908,47.369,15.304,0.6769195043171694,0.0,0.0,,0.0,0.0,
SimplePIR-full-api,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,,,,12,5.90625,0.5078125,8.942542019999987,6.740279039999998,0.24626811650139635,3.712222,1.9694809999999998,0.46946033938703025,0.0317633,0.028360479999999993,0.10713055633388247,0.0038508399999999986,0.007266919999999999,
SimplePIR-full-api,Polygon zkEVM broad,128,26,17,0.34615384615384615,,,,133.25,62.15625,0.5335365853658536,30.699739400000027,16.834932899999988,0.4516261952373455,110.89889899999987,42.04550300000001,0.6208663622530639,0.21827892,0.10631843999999994,0.5129239232079765,0.011463600000000001,0.0083761,0.2693307512474268
SimplePIR-full-api,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,,,,51.84375,25.375,0.510548523206751,17.43781778000001,10.49321389999996,0.3982495956555434,25.119029000000005,10.132217999999998,0.5966317806313295,0.0793727,0.045557999999999994,0.42602431314545186,0.005529900000000001,0.00626618,
SimplePIR-full-api,Polygon zkEVM recent,128,17,11,0.3529411764705882,,,,25.5,11.6875,0.5416666666666667,12.01995213999996,7.368976019999987,0.3869379899211469,9.646252000000006,4.6985199999999985,0.512917555958522,0.04076109999999999,0.02663055999999999,0.3466672881742642,0.00386588,0.0037389200000000006,
SimplePIR-full-api,ZKsync Era broad,128,26,17,0.34615384615384615,,,,138.9375,65.34375,0.5296896086369771,31.579604119999935,17.5194276,0.4452296636326537,118.589681,42.07139499999999,0.6452356170854361,0.2528463399999999,0.11017420000000001,0.5642642088471597,0.012940359999999995,0.008721180000000002,0.3260481161265988
SimplePIR-full-api,ZKsync Era sample,128,20,13,0.35,,,,43.125,20.71875,0.5195652173913043,15.648474060000023,9.411536299999984,0.3985652362068094,17.074945999999997,7.625448999999999,0.5534129946882409,0.07399071999999998,0.0346681,0.531453403886325,0.005292740000000001,0.00405336,
